ticket_id,order_id,customer_id,ticket_date,issue_category,issue_description,priority,ticket_status,resolution_days,customer_satisfaction_score
TICK00260,ORD00733,CUST0011,2024-02-12,Refund,Refund is delayed for more than one week,Medium,Closed,7.0,1.0
TICK00261,ORD01345,CUST0175,2024-12-19,App/Website,Coupon code is not applying,High,Escalated,5.0,
TICK00262,ORD02184,CUST0504,2024-12-18,Refund,Refund not received even after return pickup,Medium,Closed,8.0,1.0
TICK00263,ORD02057,CUST0666,2024-02-11,Payment,Unable to complete payment using UPI,High,Escalated,1.0,
TICK00264,ORD00265,CUST0553,2024-02-29,Refund,Refund not received even after return pickup,Low,Closed,4.0,1.0
TICK00265,ORD00106,CUST0100,2024-08-21,Payment,Payment failed but amount was deducted,Medium,Escalated,7.0,
TICK00266,ORD02215,CUST0295,2024-12-20,Product,Product is not working properly,Low,Closed,5.0,4.0
TICK00267,ORD01312,CUST0085,2024-07-06,Payment,Unable to complete payment using UPI,Low,Closed,5.0,5.0
TICK00268,ORD02426,CUST0645,2024-05-20,Return,Return request is not getting approved,Low,Closed,5.0,2.0
TICK00269,ORD02166,CUST0025,2024-12-28,Refund,Refund amount is incorrect,High,Closed,7.0,5.0
TICK00270,ORD01834,CUST0653,2024-05-08,App/Website,Unable to login to my account,Medium,Closed,2.0,4.0
TICK00271,ORD00620,CUST0419,2024-02-28,Refund,Refund status is not updated,Medium,Open,,
TICK00272,ORD00866,CUST0086,2024-06-15,Delivery,My order is delayed and I have not received any update,Low,Closed,2.0,4.0
TICK00273,ORD01404,CUST0632,2024-03-13,Refund,Refund status is not updated,Low,Open,,
TICK00274,ORD01985,CUST0625,2024-08-18,App/Website,Coupon code is not applying,High,Closed,8.0,1.0
TICK00275,ORD02435,CUST0613,2024-11-28,Return,Return process is taking too much time,Medium,Closed,6.0,1.0
TICK00276,ORD01196,CUST0067,2024-06-23,Refund,Refund is delayed for more than one week,Low,Escalated,5.0,
TICK00277,ORD01474,CUST0081,2024-04-19,Payment,Payment failed but amount was deducted,Medium,Closed,8.0,1.0
TICK00278,ORD01936,CUST0103,2024-07-06,App/Website,App is crashing during checkout,Medium,Open,,
TICK00279,ORD00611,CUST0084,2024-02-25,Product,Wrong product was delivered,Medium,Closed,3.0,4.0
TICK00280,ORD00191,CUST0548,2024-07-01,Payment,Payment failed but amount was deducted,Low,Open,,
TICK00281,ORD02157,CUST0398,2024-09-06,Return,Return pickup has not been completed,Medium,Closed,5.0,2.0
TICK00282,ORD00088,CUST0365,2024-06-15,Return,Return pickup has not been completed,Medium,Open,,
TICK00283,ORD00627,CUST0428,2024-09-10,Delivery,Order was delivered very late,Medium,Escalated,4.0,
TICK00284,ORD01181,CUST0092,2024-02-16,Refund,Refund status is not updated,Medium,Closed,4.0,5.0
TICK00285,ORD00468,CUST0474,2024-04-18,Return,Return pickup has not been completed,Medium,Closed,6.0,3.0
TICK00286,ORD00068,CUST0095,2024-08-28,Return,I am unable to schedule return pickup,Low,Open,,
TICK00287,ORD01173,CUST0529,2024-11-08,Return,Return pickup has not been completed,Low,Closed,8.0,3.0
TICK00288,ORD00351,CUST0765,2024-06-03,App/Website,Product page is not loading properly,Medium,Open,,
TICK00289,ORD01515,CUST0624,2024-04-27,Return,I am unable to schedule return pickup,Low,Closed,6.0,3.0
TICK00290,ORD00243,CUST0567,2024-04-29,Return,Return pickup has not been completed,Medium,Closed,8.0,4.0
TICK00291,ORD01913,CUST0187,2024-12-04,Return,Return request is not getting approved,Medium,Closed,3.0,2.0
TICK00292,ORD02462,CUST0394,2024-11-20,Refund,Refund is delayed for more than one week,High,Closed,1.0,5.0
TICK00293,ORD01003,CUST0388,2024-10-23,Delivery,Order was delivered very late,Low,Escalated,6.0,
TICK00294,ORD00479,CUST0011,2024-09-01,Payment,Unable to complete payment using UPI,Low,Escalated,8.0,
TICK00295,ORD01664,CUST0453,2024-07-04,App/Website,App is crashing during checkout,High,Closed,2.0,2.0
TICK00296,ORD01553,CUST0450,2024-05-04,Refund,Refund status is not updated,Medium,Closed,5.0,4.0
TICK00297,ORD00057,CUST0140,2024-09-15,Payment,Payment failed but amount was deducted,Medium,Escalated,9.0,
TICK00298,ORD02143,CUST0701,2024-05-02,Delivery,Order was delivered very late,Medium,Open,,
TICK00299,ORD00487,CUST0516,2024-09-10,Product,Product quality is not good compared to description,Medium,Closed,1.0,5.0
TICK00300,ORD01754,CUST0274,2024-04-07,Product,Received damaged product and box was opened,Medium,Closed,2.0,4.0
TICK00301,ORD00470,CUST0092,2024-07-08,App/Website,App is crashing during checkout,Medium,Closed,4.0,4.0
TICK00302,ORD00353,CUST0584,2024-02-10,Product,Product quality is not good compared to description,High,Closed,2.0,3.0
TICK00303,ORD01407,CUST0492,2024-06-05,Return,Return request is not getting approved,High,Closed,7.0,4.0
TICK00304,ORD01503,CUST0671,2024-01-27,Payment,Cash on Delivery option is not available,High,Escalated,9.0,
TICK00305,ORD01567,CUST0723,2024-09-27,App/Website,Unable to login to my account,Low,Escalated,3.0,
TICK00306,ORD01789,CUST0385,2024-10-16,Product,Received damaged product and box was opened,Low,Closed,3.0,1.0
TICK00307,ORD00366,CUST0696,2024-07-13,Product,Product is not working properly,High,Closed,9.0,1.0
TICK00308,ORD00947,CUST0074,2024-10-02,Payment,Cash on Delivery option is not available,Low,Closed,8.0,2.0
TICK00309,ORD01166,CUST0513,2024-04-23,Delivery,My order is delayed and I have not received any update,Medium,Escalated,5.0,
TICK00310,ORD00069,CUST0513,2024-03-20,Delivery,Package tracking is not updating properly,Medium,Closed,6.0,5.0
TICK00311,ORD01129,CUST0362,2024-06-17,Payment,Payment status is showing pending,High,Escalated,4.0,
TICK00312,ORD01805,CUST0094,2024-07-21,Delivery,Order was delivered very late,Low,Closed,4.0,3.0
TICK00313,ORD01460,CUST0142,2024-03-12,Delivery,Order was delivered very late,Medium,Closed,8.0,1.0
TICK00314,ORD00185,CUST0338,2024-07-29,Refund,Refund not received even after return pickup,High,Closed,8.0,3.0
TICK00315,ORD00173,CUST0677,2024-02-13,Refund,Refund is delayed for more than one week,Medium,Closed,1.0,3.0
TICK00316,ORD00170,CUST0654,2024-03-08,Delivery,My order is delayed and I have not received any update,Medium,Open,,
TICK00317,ORD01278,CUST0031,2024-03-13,Product,Product quality is not good compared to description,Medium,Closed,2.0,2.0
TICK00318,ORD01376,CUST0409,2024-03-04,App/Website,App is crashing during checkout,Low,Escalated,1.0,
TICK00319,ORD01233,CUST0661,2025-01-04,Payment,Unable to complete payment using UPI,High,Closed,8.0,3.0
TICK00320,ORD00139,CUST0362,2024-06-03,Return,Return process is taking too much time,High,Closed,1.0,5.0
TICK00321,ORD00565,CUST0495,2024-03-15,Product,Wrong product was delivered,Low,Closed,9.0,2.0
TICK00322,ORD00533,CUST0403,2024-02-01,Delivery,Package tracking is not updating properly,Low,Closed,3.0,1.0
TICK00323,ORD01957,CUST0585,2024-04-13,App/Website,App is crashing during checkout,High,Closed,6.0,3.0
TICK00324,ORD00095,CUST0116,2024-07-02,Delivery,Order was delivered very late,Low,Closed,2.0,1.0
TICK00325,ORD02206,CUST0078,2024-01-14,Payment,Unable to complete payment using UPI,Medium,Closed,6.0,1.0
TICK00326,ORD00153,CUST0592,2024-06-29,Delivery,Package tracking is not updating properly,High,Closed,2.0,5.0
TICK00327,ORD01575,CUST0390,2024-11-28,Delivery,Delivery partner did not call before marking delivery failed,Low,Closed,5.0,1.0
TICK00328,ORD02294,CUST0775,2024-12-02,Delivery,Package tracking is not updating properly,High,Open,,
TICK00329,ORD01261,CUST0183,2024-12-04,App/Website,Unable to login to my account,High,Closed,6.0,1.0
TICK00330,ORD00992,CUST0128,2024-10-09,Return,I am unable to schedule return pickup,Medium,Closed,4.0,2.0
TICK00331,ORD02495,CUST0728,2024-03-09,Return,Return process is taking too much time,Medium,Closed,7.0,5.0
TICK00332,ORD01791,CUST0114,2024-10-23,Return,Return request is not getting approved,Medium,Closed,4.0,1.0
TICK00333,ORD01427,CUST0768,2024-02-13,App/Website,App is crashing during checkout,Low,Open,,
TICK00334,ORD02074,CUST0189,2024-05-14,Return,Return pickup has not been completed,Low,Open,,
TICK00335,ORD00167,CUST0457,2024-06-30,Return,I am unable to schedule return pickup,Low,Closed,2.0,2.0
TICK00336,ORD00923,CUST0785,2024-06-02,Product,Product quality is not good compared to description,Medium,Closed,3.0,3.0
TICK00337,ORD01613,CUST0230,2024-10-26,Payment,Cash on Delivery option is not available,High,Closed,5.0,2.0
TICK00338,ORD00865,CUST0494,2024-01-15,Refund,Refund amount is incorrect,High,Closed,4.0,1.0
TICK00339,ORD00892,CUST0181,2024-07-16,App/Website,Product page is not loading properly,Medium,Closed,5.0,3.0
TICK00340,ORD02432,CUST0703,2024-07-17,Payment,Unable to complete payment using UPI,Low,Open,,
TICK00341,ORD01200,CUST0793,2024-07-18,Delivery,My order is delayed and I have not received any update,Low,Open,,
TICK00342,ORD01996,CUST0455,2024-03-21,Payment,Payment status is showing pending,Medium,Closed,7.0,2.0
TICK00343,ORD00574,CUST0052,2024-08-25,App/Website,Unable to login to my account,Low,Open,,
TICK00344,ORD02355,CUST0750,2024-07-23,Product,Received damaged product and box was opened,Medium,Open,,
TICK00345,ORD02368,CUST0635,2024-11-06,App/Website,Product page is not loading properly,Medium,Closed,2.0,5.0
TICK00346,ORD01487,CUST0754,2024-02-12,Delivery,Delivery partner did not call before marking delivery failed,Low,Open,,
TICK00347,ORD02233,CUST0477,2024-08-25,Return,Return process is taking too much time,Low,Open,,
TICK00348,ORD02089,CUST0675,2024-10-20,Product,Product is not working properly,Medium,Escalated,7.0,
TICK00349,ORD00399,CUST0087,2024-12-23,Payment,Payment failed but amount was deducted,Medium,Closed,3.0,4.0
TICK00350,ORD02227,CUST0763,2024-12-14,App/Website,Product page is not loading properly,Medium,Closed,9.0,5.0
TICK00351,ORD00158,CUST0296,2024-08-21,Return,Return request is not getting approved,Low,Open,,
TICK00352,ORD02147,CUST0661,2024-07-20,Return,Return request is not getting approved,Medium,Closed,9.0,2.0
TICK00353,ORD02490,CUST0009,2024-06-29,Product,Received damaged product and box was opened,Low,Closed,2.0,5.0
TICK00354,ORD00966,CUST0496,2024-12-04,Refund,Refund not received even after return pickup,Medium,Closed,8.0,3.0
TICK00355,ORD01432,CUST0207,2024-04-04,Payment,Payment failed but amount was deducted,High,Open,,
TICK00356,ORD02237,CUST0375,2024-01-17,Payment,Cash on Delivery option is not available,Medium,Closed,7.0,2.0
TICK00357,ORD01216,CUST0129,2024-11-29,Return,I am unable to schedule return pickup,High,Closed,9.0,1.0
TICK00358,ORD00754,CUST0507,2024-09-09,Payment,Cash on Delivery option is not available,Low,Open,,
TICK00359,ORD01068,CUST0601,2024-12-12,Payment,Payment status is showing pending,High,Open,,
TICK00360,ORD01115,CUST0002,2024-05-04,Return,Return request is not getting approved,Low,Closed,3.0,3.0
TICK00361,ORD01667,CUST0663,2024-05-31,Payment,Payment failed but amount was deducted,Low,Closed,1.0,4.0
TICK00362,ORD01645,CUST0607,2024-03-27,App/Website,Unable to login to my account,Medium,Open,,
TICK00363,ORD01015,CUST0436,2025-01-05,Delivery,Delivery partner did not call before marking delivery failed,Medium,Closed,8.0,1.0
TICK00364,ORD02284,CUST0241,2024-02-18,Delivery,My order is delayed and I have not received any update,Medium,Closed,5.0,5.0
TICK00365,ORD02232,CUST0602,2024-04-06,Payment,Cash on Delivery option is not available,High,Closed,5.0,3.0
TICK00366,ORD00143,CUST0640,2024-01-24,Payment,Payment status is showing pending,Low,Closed,5.0,5.0
TICK00367,ORD01065,CUST0371,2024-11-02,Product,Product is not working properly,Low,Closed,9.0,4.0
TICK00368,ORD01463,CUST0011,2024-05-07,App/Website,App is crashing during checkout,Low,Open,,
TICK00369,ORD00868,CUST0314,2024-08-22,Product,Product is not working properly,Medium,Closed,1.0,4.0
TICK00370,ORD00075,CUST0479,2024-02-05,App/Website,Product page is not loading properly,Low,Open,,
TICK00371,ORD01120,CUST0370,2024-02-24,App/Website,App is crashing during checkout,Low,Closed,9.0,4.0
TICK00372,ORD01709,CUST0409,2024-09-03,App/Website,Unable to login to my account,Low,Open,,
TICK00373,ORD02031,CUST0498,2024-07-12,App/Website,Product page is not loading properly,Low,Open,,
TICK00374,ORD00679,CUST0761,2024-01-25,App/Website,Unable to login to my account,Medium,Closed,5.0,1.0
TICK00375,ORD01296,CUST0410,2024-02-18,Refund,Refund is delayed for more than one week,Medium,Closed,4.0,4.0
TICK00376,ORD00428,CUST0318,2024-08-27,App/Website,App is crashing during checkout,Low,Open,,
TICK00377,ORD01236,CUST0248,2024-01-14,Return,I am unable to schedule return pickup,Low,Escalated,5.0,
TICK00378,ORD00042,CUST0215,2024-11-19,Payment,Payment failed but amount was deducted,Low,Closed,4.0,2.0
TICK00379,ORD01543,CUST0138,2024-04-12,Return,Return pickup has not been completed,Low,Open,,
TICK00380,ORD00449,CUST0398,2024-01-16,Refund,Refund not received even after return pickup,High,Closed,7.0,2.0
TICK00381,ORD01793,CUST0770,2024-04-26,Payment,Unable to complete payment using UPI,Medium,Escalated,8.0,
TICK00382,ORD00209,CUST0219,2024-01-31,App/Website,App is crashing during checkout,Low,Open,,
TICK00383,ORD02238,CUST0608,2024-04-12,Refund,Refund not received even after return pickup,Low,Closed,7.0,2.0
TICK00384,ORD01835,CUST0311,2024-03-26,Payment,Unable to complete payment using UPI,Medium,Closed,6.0,4.0
TICK00385,ORD00864,CUST0483,2024-08-16,App/Website,Unable to login to my account,Low,Closed,5.0,2.0
TICK00386,ORD00302,CUST0201,2024-01-21,Refund,Refund is delayed for more than one week,Medium,Closed,3.0,5.0
TICK00387,ORD02040,CUST0042,2024-05-15,Payment,Cash on Delivery option is not available,Low,Closed,3.0,4.0
TICK00388,ORD02491,CUST0526,2024-01-16,Payment,Unable to complete payment using UPI,Low,Closed,2.0,3.0
TICK00389,ORD02053,CUST0357,2024-12-29,Delivery,Order was delivered very late,Medium,Closed,4.0,5.0
TICK00390,ORD00474,CUST0134,2024-08-17,App/Website,Coupon code is not applying,Medium,Escalated,3.0,
TICK00391,ORD01631,CUST0693,2024-05-29,Payment,Unable to complete payment using UPI,Medium,Closed,3.0,2.0
TICK00392,ORD02450,CUST0441,2024-05-08,App/Website,Product page is not loading properly,Low,Closed,7.0,2.0
TICK00393,ORD00421,CUST0745,2024-11-18,Return,Return process is taking too much time,Low,Closed,6.0,4.0
TICK00394,ORD02292,CUST0044,2024-05-01,App/Website,Product page is not loading properly,Low,Escalated,4.0,
TICK00395,ORD00073,CUST0535,2024-03-02,App/Website,Coupon code is not applying,Medium,Closed,3.0,4.0
TICK00396,ORD00942,CUST0157,2024-04-21,Return,I am unable to schedule return pickup,Medium,Open,,
TICK00397,ORD01205,CUST0463,2024-08-03,Delivery,Order was delivered very late,Medium,Open,,
TICK00398,ORD02474,CUST0457,2024-08-19,Return,I am unable to schedule return pickup,Low,Closed,1.0,5.0
TICK00399,ORD00445,CUST0022,2024-12-01,Delivery,My order is delayed and I have not received any update,Medium,Open,,
TICK00400,ORD00740,CUST0141,2024-07-14,Delivery,Package tracking is not updating properly,Medium,Closed,6.0,5.0
TICK00401,ORD00393,CUST0693,2024-07-05,Refund,Refund not received even after return pickup,High,Escalated,4.0,
TICK00402,ORD01495,CUST0315,2024-10-20,Delivery,Delivery partner did not call before marking delivery failed,Medium,Closed,5.0,4.0
TICK00403,ORD00224,CUST0055,2024-04-21,App/Website,Unable to login to my account,High,Closed,3.0,1.0
TICK00404,ORD00415,CUST0680,2024-10-17,Product,Product is not working properly,Medium,Closed,9.0,5.0
TICK00405,ORD01561,CUST0270,2024-02-28,App/Website,App is crashing during checkout,Low,Closed,4.0,2.0
TICK00406,ORD01034,CUST0144,2024-07-07,Return,Return pickup has not been completed,Low,Closed,7.0,5.0
TICK00407,ORD01334,CUST0225,2024-03-11,Delivery,My order is delayed and I have not received any update,Low,Closed,7.0,1.0
TICK00408,ORD01070,CUST0634,2024-06-26,Return,Return request is not getting approved,Low,Escalated,1.0,
TICK00409,ORD02320,CUST0221,2024-11-27,Refund,Refund status is not updated,High,Closed,3.0,2.0
TICK00410,ORD01578,CUST0646,2024-08-01,Return,Return process is taking too much time,Low,Closed,5.0,4.0
TICK00411,ORD00629,CUST0738,2024-11-13,Product,Wrong product was delivered,Medium,Escalated,1.0,
TICK00412,ORD02212,CUST0239,2024-04-22,Product,Product quality is not good compared to description,Medium,Closed,5.0,1.0
TICK00413,ORD01799,CUST0343,2024-08-26,Return,I am unable to schedule return pickup,Low,Closed,6.0,2.0
TICK00414,ORD00949,CUST0135,2024-06-20,Refund,Refund amount is incorrect,Medium,Escalated,8.0,
TICK00415,ORD02297,CUST0205,2024-11-09,Payment,Unable to complete payment using UPI,Low,Closed,2.0,3.0
TICK00416,ORD00635,CUST0725,2024-01-26,Product,Product quality is not good compared to description,High,Closed,3.0,2.0
TICK00417,ORD02467,CUST0716,2024-12-22,Delivery,Delivery partner did not call before marking delivery failed,High,Closed,4.0,1.0
TICK00418,ORD00898,CUST0128,2024-05-24,App/Website,Unable to login to my account,Medium,Closed,5.0,3.0
TICK00419,ORD01728,CUST0691,2024-08-09,Product,Wrong product was delivered,Medium,Escalated,5.0,
TICK00420,ORD00443,CUST0559,2024-08-12,App/Website,Unable to login to my account,Medium,Escalated,8.0,
TICK00421,ORD00522,CUST0042,2024-09-20,App/Website,Coupon code is not applying,Low,Closed,8.0,4.0
TICK00422,ORD01808,CUST0205,2024-06-25,Refund,Refund status is not updated,Medium,Closed,5.0,5.0
TICK00423,ORD01649,CUST0631,2024-12-21,Product,Wrong product was delivered,High,Closed,9.0,2.0
TICK00424,ORD02051,CUST0593,2024-03-16,Delivery,My order is delayed and I have not received any update,Medium,Closed,2.0,1.0
TICK00425,ORD01854,CUST0101,2024-10-11,Payment,Payment status is showing pending,Low,Closed,3.0,5.0
TICK00426,ORD02350,CUST0143,2024-04-25,Payment,Payment failed but amount was deducted,Low,Closed,5.0,2.0
TICK00427,ORD00706,CUST0063,2024-01-27,Product,Product is not working properly,Low,Closed,6.0,5.0
TICK00428,ORD00663,CUST0390,2024-07-12,Delivery,Package tracking is not updating properly,Medium,Closed,2.0,1.0
TICK00429,ORD01453,CUST0491,2024-03-13,App/Website,Unable to login to my account,Medium,Closed,2.0,3.0
TICK00430,ORD02041,CUST0281,2024-01-19,Product,Product quality is not good compared to description,Medium,Closed,7.0,3.0
TICK00431,ORD01266,CUST0142,2024-04-25,App/Website,Coupon code is not applying,High,Open,,
TICK00432,ORD02001,CUST0773,2024-06-28,Refund,Refund not received even after return pickup,Low,Closed,1.0,5.0
TICK00433,ORD01148,CUST0114,2024-04-03,Return,Return request is not getting approved,Medium,Open,,
TICK00434,ORD02393,CUST0726,2024-10-01,Payment,Unable to complete payment using UPI,Medium,Closed,6.0,4.0
TICK00435,ORD02175,CUST0458,2024-09-10,Refund,Refund is delayed for more than one week,Low,Closed,2.0,2.0
TICK00436,ORD00246,CUST0253,2024-05-17,Delivery,Order was delivered very late,Low,Open,,
TICK00437,ORD01849,CUST0263,2024-04-14,Refund,Refund not received even after return pickup,Low,Escalated,9.0,
TICK00438,ORD00491,CUST0290,2024-05-19,Refund,Refund is delayed for more than one week,Low,Closed,9.0,5.0
TICK00439,ORD01910,CUST0090,2024-10-31,Return,Return pickup has not been completed,High,Open,,
TICK00440,ORD02087,CUST0531,2024-04-09,Refund,Refund amount is incorrect,Low,Open,,
TICK00441,ORD00904,CUST0485,2024-07-03,App/Website,Coupon code is not applying,Low,Closed,3.0,4.0
TICK00442,ORD00367,CUST0504,2024-12-18,Product,Received damaged product and box was opened,Low,Escalated,4.0,
TICK00443,ORD01380,CUST0313,2024-02-19,Return,I am unable to schedule return pickup,Medium,Open,,
TICK00444,ORD02032,CUST0773,2024-03-31,Payment,Payment status is showing pending,Low,Closed,1.0,4.0
TICK00445,ORD00386,CUST0454,2024-09-02,Return,Return request is not getting approved,High,Closed,6.0,2.0
TICK00446,ORD01738,CUST0699,2024-10-01,Payment,Payment failed but amount was deducted,Medium,Closed,4.0,4.0
TICK00447,ORD00151,CUST0771,2024-08-04,Payment,Unable to complete payment using UPI,Low,Closed,9.0,2.0
TICK00448,ORD01138,CUST0302,2024-09-04,Return,Return request is not getting approved,High,Open,,
TICK00449,ORD00707,CUST0067,2024-03-19,Return,Return process is taking too much time,Low,Closed,2.0,4.0
TICK00450,ORD01568,CUST0677,2024-11-22,Delivery,Package tracking is not updating properly,Medium,Closed,3.0,4.0
TICK00451,ORD00338,CUST0472,2024-02-23,Return,Return process is taking too much time,Medium,Closed,8.0,1.0
TICK00452,ORD01086,CUST0255,2024-04-23,App/Website,Coupon code is not applying,Medium,Open,,
TICK00453,ORD01035,CUST0368,2025-01-09,Delivery,My order is delayed and I have not received any update,Low,Escalated,4.0,
TICK00454,ORD02464,CUST0537,2024-06-28,App/Website,App is crashing during checkout,Medium,Closed,6.0,4.0
TICK00455,ORD00180,CUST0629,2024-12-09,Payment,Cash on Delivery option is not available,Low,Open,,
TICK00456,ORD02318,CUST0001,2024-06-10,Return,Return pickup has not been completed,Medium,Open,,
TICK00457,ORD00855,CUST0330,2024-04-16,Delivery,Package tracking is not updating properly,Low,Closed,7.0,3.0
TICK00458,ORD00682,CUST0506,2024-07-15,Payment,Payment failed but amount was deducted,High,Closed,8.0,1.0
TICK00459,ORD00076,CUST0592,2024-06-10,Refund,Refund not received even after return pickup,Medium,Escalated,4.0,
TICK00460,ORD02055,CUST0634,2024-08-25,App/Website,App is crashing during checkout,Low,Open,,
TICK00461,ORD00543,CUST0115,2024-01-13,Refund,Refund is delayed for more than one week,High,Closed,7.0,5.0
TICK00462,ORD00538,CUST0548,2024-01-22,Product,Wrong product was delivered,Medium,Closed,3.0,4.0
TICK00463,ORD01569,CUST0141,2024-11-10,App/Website,Product page is not loading properly,Medium,Closed,3.0,4.0
TICK00464,ORD00215,CUST0092,2024-12-31,Refund,Refund amount is incorrect,Low,Closed,6.0,2.0
TICK00465,ORD02461,CUST0730,2024-08-24,Product,Wrong product was delivered,Medium,Closed,1.0,4.0
TICK00466,ORD00380,CUST0311,2024-11-24,Return,Return process is taking too much time,Low,Open,,
TICK00467,ORD00881,CUST0467,2024-12-25,Refund,Refund status is not updated,Medium,Closed,2.0,5.0
TICK00468,ORD02499,CUST0555,2024-07-30,App/Website,Unable to login to my account,Low,Closed,7.0,2.0
TICK00469,ORD02404,CUST0523,2024-01-11,App/Website,Coupon code is not applying,Medium,Open,,
TICK00470,ORD01984,CUST0650,2024-11-20,Return,Return process is taking too much time,High,Open,,
TICK00471,ORD02346,CUST0617,2024-05-23,Return,Return process is taking too much time,High,Closed,7.0,5.0
TICK00472,ORD01398,CUST0639,2024-12-29,Delivery,Delivery partner did not call before marking delivery failed,Low,Closed,2.0,5.0
TICK00473,ORD01351,CUST0503,2024-06-30,Refund,Refund not received even after return pickup,Medium,Open,,
TICK00474,ORD01025,CUST0633,2024-09-08,Product,Product is not working properly,Medium,Closed,3.0,1.0
TICK00475,ORD01516,CUST0733,2024-09-27,Refund,Refund status is not updated,Low,Closed,6.0,4.0
TICK00476,ORD01297,CUST0628,2024-02-04,Delivery,My order is delayed and I have not received any update,Low,Closed,8.0,4.0
TICK00477,ORD00294,CUST0328,2024-04-01,Delivery,My order is delayed and I have not received any update,Low,Closed,4.0,3.0
TICK00478,ORD01228,CUST0422,2024-02-24,Delivery,Order was delivered very late,High,Closed,6.0,3.0
TICK00479,ORD01850,CUST0707,2024-09-02,Return,I am unable to schedule return pickup,Low,Closed,7.0,3.0
TICK00480,ORD02437,CUST0496,2024-05-30,Product,Product quality is not good compared to description,Low,Closed,8.0,3.0
TICK00481,ORD00849,CUST0743,2024-11-08,Delivery,Delivery partner did not call before marking delivery failed,Low,Closed,1.0,2.0
TICK00482,ORD01513,CUST0637,2024-01-17,Product,Product quality is not good compared to description,Medium,Closed,7.0,2.0
TICK00483,ORD01221,CUST0512,2024-12-10,Refund,Refund status is not updated,Medium,Open,,
TICK00484,ORD00586,CUST0699,2024-07-18,Delivery,Delivery partner did not call before marking delivery failed,Low,Closed,4.0,4.0
TICK00485,ORD01492,CUST0256,2024-10-10,Delivery,My order is delayed and I have not received any update,Low,Closed,5.0,2.0
TICK00486,ORD00756,CUST0208,2024-08-31,Return,Return request is not getting approved,Medium,Closed,7.0,2.0
TICK00487,ORD02315,CUST0492,2024-10-24,Delivery,Order was delivered very late,Medium,Closed,6.0,1.0
TICK00488,ORD00177,CUST0183,2024-08-27,Delivery,My order is delayed and I have not received any update,Medium,Closed,2.0,4.0
TICK00489,ORD01352,CUST0499,2024-05-16,Product,Product quality is not good compared to description,Medium,Closed,6.0,5.0
TICK00490,ORD01379,CUST0139,2024-08-03,Refund,Refund status is not updated,Low,Closed,8.0,4.0
TICK00491,ORD01719,CUST0675,2024-03-20,App/Website,Product page is not loading properly,Low,Closed,5.0,4.0
TICK00492,ORD02479,CUST0725,2024-04-01,Delivery,Order was delivered very late,High,Closed,1.0,5.0
TICK00493,ORD02261,CUST0797,2024-04-18,Refund,Refund is delayed for more than one week,Low,Open,,
TICK00494,ORD01810,CUST0251,2024-12-26,Product,Product is not working properly,High,Closed,1.0,5.0
TICK00495,ORD00235,CUST0483,2024-11-04,Payment,Payment status is showing pending,Low,Closed,9.0,5.0
TICK00496,ORD01711,CUST0695,2024-08-06,Refund,Refund status is not updated,Low,Closed,7.0,5.0
TICK00497,ORD02121,CUST0069,2024-04-14,Payment,Unable to complete payment using UPI,Low,Open,,
TICK00498,ORD01909,CUST0800,2024-03-01,Payment,Payment failed but amount was deducted,High,Open,,
TICK00499,ORD01496,CUST0184,2024-08-27,Payment,Unable to complete payment using UPI,Low,Closed,5.0,4.0
TICK00500,ORD02092,CUST0193,2024-07-31,Payment,Cash on Delivery option is not available,Low,Closed,4.0,2.0
TICK00501,ORD02061,CUST0783,2024-03-23,Return,I am unable to schedule return pickup,Low,Closed,2.0,3.0
TICK00502,ORD01143,CUST0609,2024-04-03,Return,Return pickup has not been completed,Medium,Escalated,5.0,
TICK00503,ORD00092,CUST0238,2024-04-27,Payment,Unable to complete payment using UPI,High,Open,,
TICK00504,ORD00521,CUST0191,2024-08-15,Return,I am unable to schedule return pickup,High,Closed,2.0,2.0
TICK00505,ORD01219,CUST0696,2024-10-29,Delivery,Package tracking is not updating properly,Medium,Open,,
TICK00506,ORD01037,CUST0762,2024-06-29,App/Website,Unable to login to my account,Low,Closed,4.0,1.0
TICK00507,ORD00994,CUST0797,2024-05-26,Payment,Payment status is showing pending,Medium,Closed,9.0,1.0
TICK00508,ORD01697,CUST0600,2024-07-27,Delivery,My order is delayed and I have not received any update,Medium,Open,,
TICK00509,ORD00878,CUST0253,2024-05-16,Payment,Payment failed but amount was deducted,Low,Open,,
TICK00510,ORD00277,CUST0427,2024-12-20,Delivery,Package tracking is not updating properly,High,Closed,5.0,4.0
TICK00511,ORD00043,CUST0748,2024-11-28,Refund,Refund amount is incorrect,Low,Closed,9.0,1.0
TICK00512,ORD01235,CUST0675,2024-05-25,Delivery,My order is delayed and I have not received any update,Medium,Closed,3.0,4.0
TICK00513,ORD00388,CUST0169,2024-09-19,App/Website,App is crashing during checkout,High,Closed,3.0,4.0
TICK00514,ORD01661,CUST0026,2024-07-16,Delivery,Order was delivered very late,Medium,Escalated,1.0,
TICK00515,ORD01122,CUST0436,2024-03-19,Payment,Cash on Delivery option is not available,High,Closed,5.0,1.0
TICK00516,ORD01655,CUST0574,2024-07-27,App/Website,Product page is not loading properly,High,Closed,2.0,4.0
TICK00517,ORD00394,CUST0063,2024-01-18,App/Website,Product page is not loading properly,Medium,Closed,1.0,4.0
